"word","sentiment","translatedContent"
"abacus","confianza","ábaco"
"abandon","miedo","abandonar"
"abandon","negativo","abandonar"
"abandon","tristeza","abandonar"
"abandoned","enfado","abandonado"
"abandoned","miedo","abandonado"
"abandoned","negativo","abandonado"
"abandoned","tristeza","abandonado"
"abandonment","enfado","abandono"
"abandonment","miedo","abandono"
"abandonment","negativo","abandono"
"abandonment","tristeza","abandono"
"abandonment","sorpresa","abandono"
"abba","positivo","abba"
"abbot","confianza","abad"
"abduction","miedo","secuestro"
"abduction","negativo","secuestro"
"abduction","tristeza","secuestro"
"abduction","sorpresa","secuestro"
"aberrant","negativo","aberrante"
"aberration","desagrado","aberración"
"aberration","negativo","aberración"
"abhor","enfado","aborrecer"
"abhor","desagrado","aborrecer"
"abhor","miedo","aborrecer"
"abhor","negativo","aborrecer"
"abhorrent","enfado","aborrecible"
"abhorrent","desagrado","aborrecible"
"abhorrent","miedo","aborrecible"
"abhorrent","negativo","aborrecible"
"ability","positivo","capacidad"
"abject","desagrado","abyecto"
"abject","negativo","abyecto"
"abnormal","desagrado","anormal"
"abnormal","negativo","anormal"
"abolish","enfado","abolir"
"abolish","negativo","abolir"
"abolition","negativo","abolición"
"abominable","desagrado","abominable"
"abominable","miedo","abominable"
"abominable","negativo","abominable"
"abomination","enfado","abominación"
"abomination","desagrado","abominación"
"abomination","miedo","abominación"
"abomination","negativo","abominación"
"abort","negativo","abortar"
"abortion","desagrado","aborto"
"abortion","miedo","aborto"
"abortion","negativo","aborto"
"abortion","tristeza","aborto"
"abortive","negativo","abortivo"
"abortive","tristeza","abortivo"
"abovementioned","positivo","anteriormente mencionado"
"abrasion","negativo","abrasión"
"abrogate","negativo","abrogar"
"abrupt","sorpresa","abrupto"
"abscess","negativo","absceso"
"abscess","tristeza","absceso"
"absence","miedo","ausencia"
"absence","negativo","ausencia"
"absence","tristeza","ausencia"
"absent","negativo","ausente"
"absent","tristeza","ausente"
"absentee","negativo","ausente"
"absentee","tristeza","ausente"
"absenteeism","negativo","absentismo"
"absolute","positivo","absoluto"
"absolution","alegria","absolución"
"absolution","positivo","absolución"
"absolution","confianza","absolución"
"absorbed","positivo","absorbido"
"absurd","negativo","absurdo"
"absurdity","negativo","absurdo"
"abundance","anticipacion","abundancia"
"abundance","desagrado","abundancia"
"abundance","alegria","abundancia"
"abundance","negativo","abundancia"
"abundance","positivo","abundancia"
"abundance","confianza","abundancia"
"abundant","alegria","abundante"
"abundant","positivo","abundante"
"abuse","enfado","abuso"
"abuse","desagrado","abuso"
"abuse","miedo","abuso"
"abuse","negativo","abuso"
"abuse","tristeza","abuso"
"abysmal","negativo","abismal"
"abysmal","tristeza","abismal"
"abyss","miedo","abismo"
"abyss","negativo","abismo"
"abyss","tristeza","abismo"
"academic","positivo","académico"
"academic","confianza","académico"
"academy","positivo","academia"
"accelerate","anticipacion","acelerar"
"acceptable","positivo","aceptable"
"acceptance","positivo","aceptación"
"accessible","positivo","accesible"
"accident","miedo","accidente"
"accident","negativo","accidente"
"accident","tristeza","accidente"
"accident","sorpresa","accidente"
"accidental","miedo","accidental"
"accidental","negativo","accidental"
"accidental","sorpresa","accidental"
"accidentally","sorpresa","accidentalmente"
"accolade","anticipacion","espaldarazo"
"accolade","alegria","espaldarazo"
"accolade","positivo","espaldarazo"
"accolade","sorpresa","espaldarazo"
"accolade","confianza","espaldarazo"
"accommodation","positivo","alojamiento"
"accompaniment","anticipacion","acompañamiento"
"accompaniment","alegria","acompañamiento"
"accompaniment","positivo","acompañamiento"
"accompaniment","confianza","acompañamiento"
"accomplish","alegria","realizar"
"accomplish","positivo","realizar"
"accomplished","alegria","consumado"
"accomplished","positivo","consumado"
"accomplishment","positivo","logro"
"accord","positivo","acuerdo"
"accord","confianza","acuerdo"
"account","confianza","cuenta"
"accountability","positivo","responsabilidad"
"accountability","confianza","responsabilidad"
"accountable","positivo","explicable"
"accountable","confianza","explicable"
"accountant","confianza","contador"
"accounts","confianza","cuentas"
"accredited","positivo","autorizado"
"accredited","confianza","autorizado"
"accueil","positivo","accueil"
"accurate","positivo","preciso"
"accurate","confianza","preciso"
"accursed","enfado","maldito"
"accursed","miedo","maldito"
"accursed","negativo","maldito"
"accursed","tristeza","maldito"
"accusation","enfado","acusación"
"accusation","desagrado","acusación"
"accusation","negativo","acusación"
"accusative","negativo","acusativo"
"accused","enfado","acusado"
"accused","miedo","acusado"
"accused","negativo","acusado"
"accuser","enfado","acusador"
"accuser","miedo","acusador"
"accuser","negativo","acusador"
"accusing","enfado","acusando"
"accusing","miedo","acusando"
"accusing","negativo","acusando"
"ace","positivo","as"
"ache","negativo","dolor"
"ache","tristeza","dolor"
"achieve","alegria","lograr"
"achieve","positivo","lograr"
"achieve","confianza","lograr"
"achievement","anticipacion","logro"
"achievement","alegria","logro"
"achievement","positivo","logro"
"achievement","confianza","logro"
"aching","negativo","dolor"
"aching","tristeza","dolor"
"acid","negativo","ácido"
"acknowledgment","positivo","Reconocimiento"
"acquire","positivo","adquirir"
"acquiring","anticipacion","adquisidor"
"acquiring","positivo","adquisidor"
"acrobat","miedo","acróbata"
"acrobat","alegria","acróbata"
"acrobat","positivo","acróbata"
"acrobat","confianza","acróbata"
"action","positivo","acción"
"actionable","enfado","procesable"
"actionable","desagrado","procesable"
"actionable","negativo","procesable"
"actual","positivo","real"
